Column1,asin,ISBN10,title,author,genre,subgenre,currency,final_price,initial_price,domain,format_1_type,format_1_price,format_2_type,format_2_price,format_3_type,format_3_price,rating,reviews_count,overall_best_seller_rank,seller_id,seller_name,timestamp
146,0769646794,0769646794,Carson Dellosa Alphabet Flash Cards Double Sided Uppercase And Lowercase Letter And Sound Recognition With Illustrations Early Reading Comprehension Practice Set,by Brighter Child (Compiler),Children's Books,Early Learning,USD,2.99,NA,www.amazon.com,,NA,,NA,,NA,4.8,15212,468,ATVPDKIKX0DER,Amazon,12/21/2021
147,1483852806,1483852806,Carson Dellosa Bilingual Sight Words Flash Cards Grades K 2 100 Sight Words In English And Spanish Double Sided Cards Reading Readiness Skills For Ages 5,"by Brighter Child (Compiler), Carson-Dellosa Publishing (Compiler)",Children's Books,Education & Reference,USD,2.99,NA,www.amazon.com,,NA,,NA,,NA,4.8,15212,63549,ATVPDKIKX0DER,Amazon,12/21/2021
148,0769646891,0769646891,Carson Dellosa Colors And Shapes Flash Cards Double Sided Essential Shapes Basic Colors Names With Illustrations Early Math And Reading Comprehension Practice Set,by Brighter Child (Compiler),Children's Books,Early Learning,USD,2.99,NA,www.amazon.com,,NA,,NA,,NA,4.7,27689,1136,ATVPDKIKX0DER,Amazon,12/21/2021
149,0769647197,0769647197,Carson Dellosa First Words Flash Cards Double Sided Common Words With Illustrations Basic Animals Food Objects Phonics And Reading Readiness Practice Set,by Brighter Child (Compiler),Children's Books,Early Learning,USD,2.99,NA,www.amazon.com,,NA,,NA,,NA,4.8,40384,848,ATVPDKIKX0DER,Amazon,12/21/2021
150,0593230256,0593230256,Caste,Isabel Wilkerson,History,Americas,USD,14.79,32,www.amazon.com,Kindle ,14.99,Audiobook ,0,Paperback ,44.81,4.8,36306,466,ATVPDKIKX0DER,kichoyproductions,12/21/2021
151,1338712764,1338712764,Cat Kid Comic Club,Dav Pilkey,Children's Books,Animals,USD,7.2,12.99,www.amazon.com,Kindle & comiXology ,7.99,Paperback ,13,,NA,4.9,13965,253,ATVPDKIKX0DER,goodwill_ind_of_mid_tn,12/21/2021
152,0439023491,0439023491,Catching Fire,Suzanne Collins,Teen & Young Adult,Fiction,USD,2,18.99,www.amazon.com,Kindle ,0,Audiobook ,0,Paperback ,7.98,4.7,28969,40233,A1HM5XS61I04DQ,bestbazaarusabestbazaarusa,12/21/2021
153,0545586178,0545586178,Catching Fire,Suzanne Collins,Teen & Young Adult,Fiction,USD,7.98,12.99,www.amazon.com,Kindle ,0,Audiobook ,0,Hardcover ,2,4.7,28969,3330,ATVPDKIKX0DER,Amazon,12/21/2021
154,164152166X,9781641521666,Celebrate Your Body,Sonya Renee TaylorBianca I. Laureano,Children's Books,Growing Up & Facts of Life,USD,8.18,12.99,www.amazon.com,Kindle ,0,Audiobook ,0,Spiral-bound ,18.99,4.8,13191,1278,ATVPDKIKX0DER,Amazon,12/21/2021
155,1623158281,1623158281,Chakra Healing,Margarita Alcantara,Religion & Spirituality,New Age & Spirituality,USD,9.59,15.99,www.amazon.com,Kindle ,7.99,Audiobook ,0,Hardcover ,NA,4.8,20641,207,ATVPDKIKX0DER,"Goodwill Retail Services, Inc.",12/21/2021
156,0500513600,9780500513606,Chanel,by Daniele Bott (Author),Arts & Photography,Graphic Design,USD,24,40,www.amazon.com,,NA,,NA,,NA,4.9,13072,441,ATVPDKIKX0DER,Amazon,12/21/2021
